"Market","Side","Type","Size","Price","Order Type","Date Time"
"SOL-PERP","sell","","0.5","94.564","limit","2024-02-01T13:39:06.000Z"
"SOL-PERP","buy","","0.3","95.982","limit","2024-02-01T13:07:50.000Z"
"SOL-PERP","sell","","0.3","94.175","limit","2024-02-01T12:43:59.000Z"
"SOL-PERP","buy","","0.5","96.253","limit","2024-02-01T12:42:39.000Z"
"SOL-PERP","sell","","0.5","94.502","limit","2024-02-01T12:26:25.000Z"
"SOL-PERP","buy","","0.8","96.541","limit","2024-02-01T12:25:15.000Z"
"SOL-PERP","sell","","0.8","94.353","limit","2024-02-01T12:10:59.000Z"
"SOL-PERP","buy","","0.9","96.509","limit","2024-02-01T12:04:02.000Z"
"SOL-PERP","sell","","0.9","94.683","limit","2024-02-01T11:49:57.000Z"
"SOL-PERP","buy","","0.8","96.921","limit","2024-02-01T11:44:45.000Z"
"SOL-PERP","sell","","0.8","94.749","limit","2024-02-01T11:28:32.000Z"
"SOL-PERP","buy","","0.6","97.194","limit","2024-02-01T11:04:30.000Z"
"SOL-PERP","sell","","0.6","95.15","limit","2024-02-01T10:49:41.000Z"
"SOL-PERP","buy","","0.4","97.618","limit","2024-02-01T10:30:15.000Z"
"SOL-PERP","sell","","0.4","95.094","limit","2024-02-01T10:12:49.000Z"
"SOL-PERP","buy","","0.8","96.862","limit","2024-02-01T09:54:47.000Z"
"SOL-PERP","sell","","0.8","94.489","limit","2024-02-01T07:40:05.000Z"
"SOL-PERP","buy","","0.7","96.209","limit","2024-02-01T07:25:48.000Z"
"SOL-PERP","sell","","0.7","93.583","limit","2024-02-01T07:12:08.000Z"
"SOL-PERP","buy","","0.6","95.614","limit","2024-02-01T06:54:53.000Z"
"SOL-PERP","sell","","0.6","93.633","limit","2024-02-01T06:38:17.000Z"
"SOL-PERP","buy","","0.5","95.306","limit","2024-02-01T06:12:41.000Z"
"SOL-PERP","sell","","0.5","93.038","limit","2024-02-01T05:51:45.000Z"
"SOL-PERP","buy","","0.6","94.609","limit","2024-02-01T05:37:15.000Z"
"SOL-PERP","sell","","0.6","93.06","limit","2024-02-01T05:25:30.000Z"
"SOL-PERP","buy","","0.4","95.168","limit","2024-02-01T05:13:53.000Z"
"SOL-PERP","sell","","0.4","93.078","limit","2024-02-01T04:59:33.000Z"
"SOL-PERP","buy","","0.4","94.39","limit","2024-02-01T04:33:26.000Z"
"SOL-PERP","sell","","0.4","92.903","limit","2024-02-01T04:17:57.000Z"
"SOL-PERP","buy","","0.7","94.89","limit","2024-02-01T03:52:07.000Z"
"SOL-PERP","sell","","0.7","92.546","limit","2024-02-01T03:26:26.000Z"
"SOL-PERP","buy","","0.8","94.652","limit","2024-02-01T03:21:57.000Z"
"SOL-PERP","sell","","0.8","93.178","limit","2024-02-01T02:54:44.000Z"
"SOL-PERP","buy","","0.7","94.924","limit","2024-02-01T02:29:45.000Z"
"SOL-PERP","sell","","0.7","93.159","limit","2024-02-01T02:14:20.000Z"
"SOL-PERP","buy","","0.4","95.432","limit","2024-02-01T02:01:40.000Z"
"SOL-PERP","sell","","0.4","93.186","limit","2024-02-01T01:41:23.000Z"
"SOL-PERP","buy","","0.8","96.428","limit","2024-02-01T01:29:03.000Z"
"SOL-PERP","sell","","0.8","95.527","limit","2024-02-01T01:10:37.000Z"
"SOL-PERP","buy","","0.7","98.271","limit","2024-02-01T00:55:45.000Z"
"SOL-PERP","sell","","0.7","95.357","limit","2024-02-01T00:44:29.000Z"
"SOL-PERP","buy","","0.9","97.945","limit","2024-02-01T00:30:17.000Z"
"SOL-PERP","sell","","0.9","96.447","limit","2024-02-01T00:16:12.000Z"
"SOL-PERP","buy","","0.4","98.454","limit","2024-02-01T00:03:19.000Z"
"SOL-PERP","sell","","0.4","95.925","limit","2024-01-31T23:49:51.000Z"
"SOL-PERP","buy","","0.8","98.049","limit","2024-01-31T23:30:38.000Z"
"SOL-PERP","sell","","0.8","95.738","limit","2024-01-31T23:14:38.000Z"
"SOL-PERP","buy","","0.5","98.668","limit","2024-01-31T23:02:37.000Z"
"SOL-PERP","sell","","0.5","96.3","limit","2024-01-31T22:46:17.000Z"
"SOL-PERP","buy","","0.4","98.192","limit","2024-01-31T22:22:16.000Z"
"SOL-PERP","sell","","0.4","96.038","limit","2024-01-31T21:59:25.000Z"
"SOL-PERP","buy","","1","97.725","limit","2024-01-31T21:35:38.000Z"
"SOL-PERP","sell","","1","97.569","limit","2024-01-31T21:08:44.000Z"
"SOL-PERP","buy","","0.4","100.643","limit","2024-01-31T20:26:05.000Z"
"SOL-PERP","sell","","0.4","99.901","limit","2024-01-31T20:01:02.000Z"
"SOL-PERP","buy","","1","101.929","limit","2024-01-31T19:48:13.000Z"
"SOL-PERP","sell","","1","99.363","limit","2024-01-31T19:25:33.000Z"
"SOL-PERP","buy","","0.5","102.914","limit","2024-01-31T17:34:45.000Z"
"SOL-PERP","sell","","0.5","100.179","limit","2024-01-31T17:11:07.000Z"
"SOL-PERP","buy","","0.7","102.551","limit","2024-01-31T16:30:16.000Z"
"SOL-PERP","sell","","0.7","100.272","limit","2024-01-31T16:22:35.000Z"
"SOL-PERP","buy","","0.6","99.719","limit","2024-01-31T15:26:59.000Z"
"SOL-PERP","sell","","0.6","97.381","limit","2024-01-31T15:26:04.000Z"
"SOL-PERP","buy","","0.3","100.475","limit","2024-01-31T15:03:27.000Z"
"SOL-PERP","sell","","0.3","98.653","limit","2024-01-31T14:34:09.000Z"
"SOL-PERP","buy","","0.9","99.721","limit","2024-01-31T14:09:38.000Z"
"SOL-PERP","sell","","0.9","98.713","limit","2024-01-31T13:50:15.000Z"
"SOL-PERP","buy","","0.5","100.231","limit","2024-01-31T13:27:48.000Z"
"SOL-PERP","sell","","0.5","98.466","limit","2024-01-31T13:20:44.000Z"
"SOL-PERP","buy","","0.4","100.483","limit","2024-01-31T13:19:55.000Z"
"SOL-PERP","sell","","0.4","98.122","limit","2024-01-31T11:57:50.000Z"
"SOL-PERP","buy","","0.6","99.64","limit","2024-01-31T11:46:25.000Z"
"SOL-PERP","sell","","0.6","97.457","limit","2024-01-31T11:40:43.000Z"
"SOL-PERP","buy","","0.3","99.108","limit","2024-01-31T11:19:59.000Z"
"SOL-PERP","sell","","0.3","96.92","limit","2024-01-31T11:05:22.000Z"
"SOL-PERP","buy","","0.4","100.464","limit","2024-01-31T10:21:10.000Z"
"SOL-PERP","sell","","0.4","98.278","limit","2024-01-31T10:18:56.000Z"
"SOL-PERP","buy","","0.4","100.308","limit","2024-01-31T10:18:14.000Z"
"SOL-PERP","sell","","0.4","98.183","limit","2024-01-31T10:11:28.000Z"
"SOL-PERP","buy","","0.5","100.332","limit","2024-01-31T09:58:42.000Z"
"SOL-PERP","sell","","0.5","99.508","limit","2024-01-31T09:45:25.000Z"
