"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.9","98.035","limit","trade","-0.533185","0.070585","2024-02-04T05:14:22.000Z"
"SOL-PERP","sell","","0.9","97.521","limit","trade","-0.070215","0.070215","2024-02-04T04:55:35.000Z"
"SOL-PERP","buy","","0.5","98.863","limit","trade","-0.036545","0.039545","2024-02-02T13:59:35.000Z"
"SOL-PERP","sell","","0.5","98.869","limit","trade","-0.039548","0.039548","2024-02-02T13:48:26.000Z"
"SOL-PERP","buy","","0.5","101.594","limit","trade","-0.082638","0.040638","2024-02-02T13:25:00.000Z"
"SOL-PERP","sell","","0.5","101.51","limit","trade","-0.040604","0.040604","2024-02-02T13:08:42.000Z"
"SOL-PERP","buy","","0.5","101.544","limit","trade","0.119382","0.040618","2024-02-02T12:50:54.000Z"
"SOL-PERP","sell","","0.5","101.864","limit","trade","-0.040746","0.040746","2024-02-02T12:35:55.000Z"
"SOL-PERP","buy","","0.2","102.428","limit","trade","-0.141984","0.016384","2024-02-02T12:19:11.000Z"
"SOL-PERP","buy","","0.5","102.389","limit","trade","-0.33546","0.04096","2024-02-02T12:19:11.000Z"
"SOL-PERP","sell","","0.7","101.8","limit","trade","-0.057008","0.057008","2024-02-02T12:03:25.000Z"
"SOL-PERP","buy","","0.4","101.976","limit","trade","-0.051023","0.032623","2024-02-02T11:41:09.000Z"
"SOL-PERP","buy","","0.5","101.925","limit","trade","-0.038278","0.040778","2024-02-02T11:41:09.000Z"
"SOL-PERP","sell","","0.9","101.93","limit","trade","-0.07339","0.07339","2024-02-02T11:24:12.000Z"
"SOL-PERP","buy","","0.2","101.868","limit","trade","-0.020095","0.016295","2024-02-02T11:08:37.000Z"
"SOL-PERP","buy","","0.5","101.835","limit","trade","-0.033737","0.040737","2024-02-02T11:08:37.000Z"
"SOL-PERP","sell","","0.7","101.849","limit","trade","-0.057035","0.057035","2024-02-02T10:44:06.000Z"
"SOL-PERP","buy","","0.4","101.568","limit","trade","-0.378902","0.032502","2024-02-02T10:32:30.000Z"
"SOL-PERP","sell","","0.4","100.702","limit","trade","-0.032225","0.032225","2024-02-02T10:08:20.000Z"
"SOL-PERP","buy","","0.8","101.02","limit","trade","-0.547853","0.064653","2024-02-02T09:44:27.000Z"
