time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Overbought band,Oversold band,Caution,Danger
1764435600,91041.78,91060.15,90498.72,90499.36,,,,,0,0,0,0,91195.73812809112,90417.31013648058,,
1764439200,90498.6,90760.83,90248.5,90747.26,,,,,0,1,0,0,91164.03430629952,90360.69411393642,0,0
1764442800,90747.78,90882.61,90662.13,90698.36,,,,,0,0,0,0,91123.0544934957,90368.67332307444,0,0
1764446400,90692.18,91061.93,90486.24,91023.71,,,,,0,0,0,0,91130.03586723898,90360.19941322113,0,0
1764450000,91025.49,91090.48,90875.85,91047.13,,,,,0,0,0,0,91121.8432180647,90357.60680708128,0,0
1764453600,91051.14,91051.14,90760.68,90807.78,,,,,0,0,0,0,91130.76179247886,90359.35477817767,0,0
1764457200,90809.56,90922.48,90749.8,90856.92,,,,,0,0,0,0,91131.47120208513,90359.08754813351,0,0
1764460800,90848.57,90975.33,90828.24,90912.21,,,,,0,0,0,0,91135.04901697017,90359.99655473317,0,0
1764464400,90912.46,91082.64,90899.83,90959.5,,,,,0,0,0,0,91148.40212099269,90354.72412563197,0,0
1764468000,90961.5,91069.53,90815.91,90834.56,,,,,0,0,0,0,91163.98961016507,90382.36427855422,0,0
1764471600,90835.07,90943.81,90519.53,90937.51,,,,,0,0,0,0,91163.94619200466,90393.56726047363,0,0
1764475200,90941.51,91001.87,90865.15,90888.63,,,,,0,0,0,0,91169.10645363537,90402.99811580832,0,0
1764478800,90887.56,90887.56,90737.54,90837.5,,,,,0,0,0,0,91163.23738821252,90412.48349472771,0,0
1764482400,90840.52,90954.28,90778.63,90934.12,,,,,0,0,0,0,91155.45308266366,90440.02487902221,0,0
1764486000,90932.12,91057.2,90909.19,91000.93,,,,,0,0,0,0,91153.33120160623,90455.93895241704,0,0
1764489600,91001.18,91439.02,90975.45,91242.14,,,,,0,0,1,0,91232.15614055084,90463.66422800126,0,0
1764493200,91238.78,91661.3,91193.8,91425.66,,,,,0,0,0,0,91351.40165573817,90451.9266401887,0,0
1764496800,91417.3,91469.4,91245.19,91270.45,,,,,0,0,0,0,91402.39550111424,90441.5463376757,0,0
1764500400,91266.73,91409.42,91035.1,91092.2,,,,,0,0,0,0,91433.03913245966,90450.8600004244,0,0
1764504000,91091.97,91532.8,91075.84,91489.87,,,,,0,0,0,0,91477.38807551107,90448.92429499063,0,0
1764507600,91489.39,91969.48,91447.54,91786.4,,1,,,0,0,0,0,91617.04572316124,90456.56162691322,0,0
1764511200,91787.65,91805.67,91311.35,91492.91,,,,1,0,0,0,0,91693.39563511946,90541.59588699881,1,1
1764514800,91495.4,91609,91357.02,91470.25,,,,,0,0,0,0,91732.13469237056,90558.95684474576,0,0
1764518400,91473.4,91881.02,91454.16,91847.9,,,,,0,0,0,0,91810.115352653,90606.61484270787,0,0
1764522000,91851.15,91854.08,91361.69,91515.09,,,,,0,0,0,0,91874.5109354897,90614.9425408686,0,0
1764525600,91510.84,91518.09,91200.9,91474.1,,,,,0,0,0,0,91892.44901527975,90642.71075275204,,
1764529200,91474.86,91489.98,91339.03,91473.76,,,,,0,0,0,0,91901.55393811212,90673.58455609856,,
1764532800,91474.26,91638.29,91214.26,91331.01,,,,,0,0,0,0,91921.60460238474,90699.10252044899,,
1764536400,91330.01,91340.13,90953.91,91192.6,,,,,0,0,0,0,91922.42847702766,90704.34628831662,,
1764540000,91191.67,91338.29,91084.98,91249.66,,,,,0,0,0,0,91921.67437526984,90729.43585964269,,
1764543600,91240.16,91258.4,90370.84,90384.6,,,,,0,0,0,0,91911.20874829552,90693.77840235532,,
1764547200,90378.23,90418.43,87018.13,87045.26,,,,,0,0,0,0,91977.40493414836,89509.45535681266,,
